municipality,county,municipality_id,county_id,latitude,longitude,hover
emmaboda,kalmar,0862,8,56.630833,15.540660999999998,kalmar emmaboda
hässleholm,skåne,1293,12,56.399826,13.649232,skåne hässleholm
oskarshamn,skåne,0882,8,56.210123,14.096059,skåne oskarshamn
vara,västra götaland,1470,14,58.255237,12.999074,västra götaland vara
säter,dalarna,2082,20,60.411803000000006,15.612191,dalarna säter
älmhult,kronoberg,0765,7,56.703808,14.338377,kronoberg älmhult
västerås,västmanland,1980,19,59.56562,16.53183,västmanland västerås
enköping,uppsala,0381,3,59.635611,17.077856,uppsala enköping
nyköping,södermanland,0480,4,58.751468,16.854532,södermanland nyköping
hudiksvall,gävleborg,2184,21,61.54746899999999,17.002246,gävleborg hudiksvall
emmaboda,kalmar,0862,8,56.73684,15.473637,kalmar emmaboda
ronneby,blekinge,1081,10,56.440125,15.362501000000002,blekinge ronneby
skellefteå,västerbotten,2482,24,64.848388,20.898183,västerbotten skellefteå
umeå,västerbotten,2480,24,64.85,20.9,västerbotten umeå
luleå,norrbotten,2580,25,65.52905200000001,21.794633,norrbotten luleå
eskilstuna,södermanland,0484,4,59.371737,16.505147,södermanland eskilstuna
eslöv,skåne,1285,12,55.837495,13.303626,skåne eslöv
älvdalen,dalarna,2039,20,61.135109,13.959032,dalarna älvdalen
kristianstad,skåne,1290,12,55.899331,14.097671,skåne kristianstad
habo,jönköping,0643,6,57.816667,13.933333,jönköping habo
högsby,kalmar,0821,8,57.15,15.666667000000002,kalmar högsby
uddevalla,västra götaland,1485,14,58.416667,12.016667,västra götaland uddevalla
tibro,örebro,1472,14,59.135612,15.2762,örebro tibro
fagersta,västmanland,1982,19,60.003862,15.790605,västmanland fagersta
kil,värmland,1715,17,59.16030600000001,12.877854,värmland kil
åtvidaberg,östergötland,0561,5,58.143713,16.206315,östergötland åtvidaberg
falkenberg,halland,1382,13,57.01289300000001,12.711883,halland falkenberg
falköping,västra götaland,1499,14,58.16469300000001,13.493854999999998,västra götaland falköping
finspång,östergötland,0562,5,58.682822,15.74651,östergötland finspång
sundsvall,västernorrland,2281,22,62.408973,16.579451000000002,västernorrland sundsvall
höganäs,skåne,1284,12,56.215028,12.712529,skåne höganäs
falkenberg,halland,1382,13,57.104094,13.032551,halland falkenberg
lindesberg,örebro,1885,18,59.434397,15.589001,örebro lindesberg
åmål,västra götaland,1492,14,58.994944,12.463962,västra götaland åmål
oskarshamn,kalmar,0882,8,57.376711,16.552266,kalmar oskarshamn
filipstad,värmland,1782,17,59.713548,14.168031,värmland filipstad
lidköping,västra götaland,1494,14,58.49076700000001,13.245936,västra götaland lidköping
hässleholm,skåne,1293,12,56.167568,13.689776,skåne hässleholm
nykvarn,stockholm,0140,1,59.224838,17.308238,stockholm nykvarn
laxå,örebro,1860,18,58.92854000000001,14.44113,örebro laxå
finspång,östergötland,0562,5,58.70773000000001,15.775864000000002,östergötland finspång
norrtälje,stockholm,0188,1,59.736929,18.492091,stockholm norrtälje
lysekil,västra götaland,1484,14,58.245646,11.456629,västra götaland lysekil
nacka,stockholm,0182,1,59.292196,18.253788,stockholm nacka
lekeberg,örebro,1814,18,59.173408,14.870949,örebro lekeberg
kristianstad,skåne,1290,12,56.043385,14.275847,skåne kristianstad
tanum,västra götaland,1435,14,58.59875400000001,11.28278,västra götaland tanum
enköping,uppsala,0381,3,59.77607,16.917935999999994,uppsala enköping
kungsbacka,halland,1384,13,57.460032,12.17238,halland kungsbacka
kungsbacka,halland,1384,13,57.438054,12.155869,halland kungsbacka
flen,södermanland,0482,4,59.056782,16.5893,södermanland flen
helsingborg,skåne,1283,12,56.108335,12.791536,skåne helsingborg
nybro,kalmar,0881,8,56.82275500000001,15.87684,kalmar nybro
mönsterås,kalmar,0861,8,57.124107,16.263129,kalmar mönsterås
falköping,västra götaland,1499,14,58.138443,13.336220999999998,västra götaland falköping
umeå,västerbotten,2480,24,63.98240300000001,20.2366,västerbotten umeå
nybro,kalmar,0881,8,56.839391000000006,15.779186,kalmar nybro
eslöv,skåne,1285,12,55.753452,13.368545999999998,skåne eslöv
lomma,skåne,1262,12,55.725269,13.071982,skåne lomma
avesta,dalarna,2084,20,60.152841,16.314388,dalarna avesta
motala,östergötland,0583,5,58.47911600000001,15.227964000000002,östergötland motala
avesta,västernorrland,2084,20,62.338615,17.026972,västernorrland avesta
gävle,gävleborg,2180,21,60.615339,16.89498,gävleborg gävle
nässjö,jönköping,0682,6,57.699733,14.472352,jönköping nässjö
forshaga,värmland,1763,17,59.529061,13.482603,värmland forshaga
värnamo,jönköping,0683,6,57.167855,13.830135999999998,jönköping värnamo
katrineholm,södermanland,0483,4,58.95541400000001,16.292684,södermanland katrineholm
karlsborg,västerbotten,1446,14,65.05569200000001,17.251008,västerbotten karlsborg
öckerö,västra götaland,1407,14,57.670081,11.654583,västra götaland öckerö
ludvika,västra götaland,2085,20,58.590937,14.088724,västra götaland ludvika
ludvika,västra götaland,2085,20,58.590937,14.088724,västra götaland ludvika
nässjö,skåne,0682,6,56.05753299999999,12.726913,skåne nässjö
hudiksvall,gävleborg,2184,21,61.78785799999999,16.612753,gävleborg hudiksvall
bollnäs,gävleborg,2183,21,61.327525,16.296974,gävleborg bollnäs
karlskrona,blekinge,1080,10,56.269795,15.542106,blekinge karlskrona
hudiksvall,gävleborg,2184,21,61.896424,16.54626,gävleborg hudiksvall
kungsbacka,halland,1384,13,57.31728,12.176746,halland kungsbacka
aneby,jönköping,0604,6,57.934088,14.820862,jönköping aneby
borås,västra götaland,1490,14,57.82388100000001,13.010019,västra götaland borås
mark,västra götaland,1463,14,57.551873,12.786593,västra götaland mark
essunga,västra götaland,1445,14,58.233322,12.666292,västra götaland essunga
vänersborg,västra götaland,1487,14,58.50005600000001,12.278243,västra götaland vänersborg
ånge,västernorrland,2260,22,62.499123,16.170082,västernorrland ånge
vimmerby,kalmar,0884,8,57.699586,16.005047,kalmar vimmerby
halmstad,halland,1380,13,56.668435,12.739596,halland halmstad
lindesberg,örebro,1885,18,59.466198,15.365069,örebro lindesberg
uppsala,uppsala,0380,3,59.856784,17.856576999999994,uppsala uppsala
härjedalen,jämtland,2361,23,62.546067,12.542015,jämtland härjedalen
växjö,kronoberg,0780,7,56.853366,15.031764,kronoberg växjö
rättvik,dalarna,2031,20,61.169946,15.135453,dalarna rättvik
kävlinge,skåne,1261,12,55.776234,13.091198,skåne kävlinge
habo,jönköping,0643,6,57.93029,13.960971,jönköping habo
gävle,gävleborg,2180,21,60.652738,17.329966,gävleborg gävle
högsby,kalmar,0821,8,57.20738000000001,15.843661,kalmar högsby
karlskrona,blekinge,1080,10,56.260068,15.947508,blekinge karlskrona
motala,västerbotten,0583,5,64.23541999999999,16.298217,västerbotten motala
värmdö,stockholm,0120,1,59.280596,18.447797,stockholm värmdö
östersund,jämtland,2380,23,62.991929000000006,14.577169,jämtland östersund
oskarshamn,kalmar,0882,8,57.383971,16.484591,kalmar oskarshamn
gotland,gotland,0980,9,57.863033,19.05089,gotland gotland
färgelanda,västra götaland,1439,14,58.613536,12.005882,västra götaland färgelanda
ljusdal,gävleborg,2161,21,61.798149,15.843765,gävleborg ljusdal
mörbylånga,kalmar,0840,8,56.65171,16.472174,kalmar mörbylånga
kristianstad,skåne,1290,12,56.072127,14.085975,skåne kristianstad
krokom,jämtland,2309,23,63.672285,14.615961,jämtland krokom
båstad,skåne,1278,12,56.353279,12.817391,skåne båstad
gagnef,dalarna,2026,20,60.456909,14.866827,dalarna gagnef
västervik,kalmar,0883,8,57.899823,16.408256,kalmar västervik
kalix,norrbotten,2514,25,65.881964,23.041193,norrbotten kalix
helsingborg,skåne,1283,12,55.987462,12.801964,skåne helsingborg
hedemora,dalarna,2083,20,60.311671,16.195085,dalarna hedemora
örebro,örebro,1880,18,59.302204,14.949523,örebro örebro
växjö,kronoberg,0780,7,56.870036,14.648903,kronoberg växjö
lund,skåne,1281,12,55.599519,13.399529,skåne lund
laholm,halland,1381,13,56.569084,13.032883,halland laholm
vellinge,skåne,1233,12,55.4974,12.956839,skåne vellinge
mora,dalarna,2062,20,60.88701700000001,14.550466,dalarna mora
halmstad,halland,1380,13,56.820129,12.732667,halland halmstad
varberg,halland,1383,13,57.120002,12.212379,halland varberg
örnsköldsvik,västernorrland,2284,22,63.47940300000001,18.976834,västernorrland örnsköldsvik
östhammar,uppsala,0382,3,60.167736,18.188617,uppsala östhammar
gislaved,jönköping,0662,6,57.293072,13.492229,jönköping gislaved
jönköping,jönköping,0680,6,57.838341,14.272612,jönköping jönköping
linköping,östergötland,0580,5,58.45810600000001,15.927406,östergötland linköping
